tweet,username,likes_count,date
Of you're a #fan of #JakeGyllenhaal #RileyKeough #EthanHawke #PaulDano #BillBurr #DaVineJoyRandolph tap  https://t.co/XQX9GBX9ZY to download our #movie #review #podcast for #TheGuilty  #EdiPatterson #PeterSarsgaard #DavidCastaneda #ChristinaVidal #AdrianMartinez #EliGoree  https://t.co/uevIBepMop,movie_toast,0,2021-10-12
"Does @netflix's #TheGuilty qualify as copaganda? Despite its best efforts, yes. Our full review:  https://t.co/9cH67n7tWj",mediaversityrev,2,2021-10-12
"Jake Gyllenhaal, Take a bow! The emotions in #TheGuilty ! So good!",ranjika_perera,5,2021-10-12
"The issue with this film is, once you've guessed the twist, everything falls flat  https://t.co/9iYqKI7STk #TheGuilty  https://t.co/4PUt7qw16i",shona_harding,0,2021-10-12
"""Broken people save Broken people...""  #TheGuilty  https://t.co/jsAOKuPJmH",whyterae91,1,2021-10-12
#TheGuilty....that's it....that's the tweet. I haven't taken a full breath for about 90% of this movie! And there's still 17 mins left...I just....  https://t.co/BT2rpJS0mg,whyterae91,1,2021-10-12
@petersarsgaard voice acted the hell outta this movie!!!!! Bruh!   #TheGuilty  https://t.co/A0qek2x8yj,whyterae91,0,2021-10-12
Bruh!!!!! #TheGuilty on Netflix!?!?!?!?!??!?!  https://t.co/ePDhPHpCAP,whyterae91,0,2021-10-12
"#TheGuilty Jake Gyllenhaal delivers another stellar turn in a claustrophobic, gut-wrenching thriller in close-up  https://t.co/FomcdreDCO  https://t.co/v99OYhebdp",film_rev_daily,1,2021-10-12
"#TheGuilty on Netflix need you to be prepared to be in your feelings when you watch it. Remindes me of ""The call""",noko_kj,0,2021-10-12
Share with us ur thoughts on movie.. If u haven't watched it already do watch it..  @NetflixFilm #netflix #TheGuilty #JakeGyllenhaal #movie  https://t.co/PkaL3Jaq6o,nutshellresume,0,2021-10-12
"1) How am I just now appreciating how fine Jake Gyllenhaal is?⁣ 2) Oh, okay. I wasn’t expecting that to happen.⁣ #TheGuilty",rikkipoynter,4,2021-10-12
What’s wrong with Joe #TheGuilty,itsreallyjess,0,2021-10-12
THE GUILTY starring Jake Gyllenhaal is an interesting psychological drama that's worth watching on #Netflix. Check out my #moviereview on YouTube #TheGuilty #JakeGyllenhaal #drama #thriller   https://t.co/aSBK82UnPd  https://t.co/9IB2gbZroT,marcusleetv,0,2021-10-12
The Guilty (2021) - Read 48 Movie Reviews  Link:  https://t.co/ehLoLBj5p7  #TheGuilty #MovieReviews,cinafilm,0,2021-10-12
This #TheGuilty movie on @Netflix_PH is stressful.,attyjong,3,2021-10-12
Recent watches in the Rossi household: #MidnightMass 8.5/11  #Woodstock Doc (@hbomax) 8/11 Listen to our pod on this -  https://t.co/79lFjD6nbf  #TheGuilty 9/11  What should we watch next?  https://t.co/hLwEkrJw9t,jasondrossi,0,2021-10-12
"@bobbybonesshow @mikedeestro Gotta say, I was disappointed w/ #TheGuilty. Ended up fast forwarding through most of the end.",nataliealund,0,2021-10-12
.@mikedeestro suggested people watch #TheGuilty on Netflix + here are some horror movies to check out that are PG-13.  https://t.co/5WDkeFRXDD,bobbybonesshow,6,2021-10-12
My Review on #TheGuilty    https://t.co/aCVI5XTRXZ  https://t.co/FMfGVxpFpy,realmolaleye,1,2021-10-12
Anyone watched #TheGuilty yet? Certainly keeps you entertained. Warning anxiety and wtf moments inducing #Netflix #thriller #movies #mentalhealth #MentalHealthAwareness #MentalHealthMatters,youdoyou19,0,2021-10-12
