tweet,username,likes_count,date
#AndieMacDowell when I saw andie macdowell I did remember her young beauty in St. Elmo’s fire - but am so happy to see her gorgeous beauty just as wonderful 35 years later 😍😍thank you Andie Macdowell 👏🏻👏🏻👏🏻#maid  https://t.co/pQMoJT90Er,womanmiami,0,2021-10-13
"I started watching #Maid on @Netflix. Overall, it seems well done &amp; makes a terrifying case for how hard it is trying to escape Domestic Violence. But, the dog-napping incident is lame &amp; not good. Steal a person's dog &amp; they don't call the police &amp; even pay you $$ they owe you.",amr82261,0,2021-10-13
"Have y’all watched #Maid on @netflix? While it’s a heavier series &amp; contains themes related to domestic violence, the creative content is so realistic &amp; raw.   It's really one of the best shows out right now. What's everyone's thoughts on it? Let’s talk about it! #TBGInSession",therapy4bgirls,25,2021-10-13
I hope Alex give Indian dude a chance #maid,primrhose_abk,1,2021-10-13
Paula ass wiggin out. #Maid,jasdtbg,0,2021-10-13
The best one I’ve watched all year 🧡 #maid #netflix   https://t.co/tZTf6SxA06,cemrehazalc,0,2021-10-13
I don’t care what the reason is.... you steal my dog I break your face.  Then she has the nerve to use her house like it’s her own on Thanksgiving.  She should totally be fired lol.  What kind of fake world is this? #maid #MAIDNetflix,kimibizzle,0,2021-10-13
"If Alex doesn't end up alone single and happy imma be pissed #Maid  I love Nate, but now is not the time",romancefantasyz,0,2021-10-13
"""panic attacks can be the body's way of telling you it knows something.""  I felt this deeply 😶 #maid",zainab_m7md,0,2021-10-13
I hate Sean #Maid,love_vs_hate321,0,2021-10-13
"What are you currently ""binge watching?"" #SquidGame #TheMorningShow #Maid #Netflix #Hulu",891thepoint,0,2021-10-13
Watching the first episode of #Maid and zaze zamunetha uGirl 😩,bubu_mazibuko,0,2021-10-13
Maid @HearterMobs and Gloria :))) #protogen #maid #furryart  https://t.co/beHUvCXwWz,zenpisceswolf,92,2021-10-13
When they ask for “home” yea that be the hardest part #maid #netflix,katishabyrd,0,2021-10-13
Alex struggles so much with accepting help sigh #maid,litaaallenxo,0,2021-10-13
"Save the date for our annual Fall Conference in November! REGISTRATION OPENS ON OCTOBER 21ST AT NOON EASTERN. For more details, visit our website with the link below!    https://t.co/OmIqhp2uCr  #fallconference #completedlife #conference #MAID #VSED #righttodie #deathpositive  https://t.co/7WW6wg62sq",completedlife,0,2021-10-13
Started watching #maid on @NetflixIndia very depressing. Abandoned.,velvetyvirgo,1,2021-10-13
Not her baby daddy getting her kicked out of 2 residencies back to back #MAID,_mindofmahdi,0,2021-10-13
Alex’s Mom is pissing me the hell off omg. So sad that people actually have to deal with this 😔 #Maid,blessmyjewel,0,2021-10-13
We will make it to the top and when we do I'm going to tell her that the M is for Maddy. #MAID  https://t.co/kWGkQ0Y4Pa,deedeehttr,0,2021-10-13
This series was phenomenal  #maid,purplemazey,0,2021-10-13
I am loving this series #maid,dollli_p,0,2021-10-13
"#SriYatun’s Escape Every year, more than a thousand #domesticworkers are brought to the #US by #diplomats and other #foreignofficials. What happens when those workers face #abuse? #daryaft #longform #longreads #maid #california #sexualharassment    https://t.co/no1O2G1HeB",daryaftlongform,0,2021-10-13
Watching #maid is actually heart wrenching,fundymum,0,2021-10-13
I've just watched S01 | E02 of Maid #maid   https://t.co/LpCC6yWfQe #tvtime  https://t.co/HyrvHHdChN,xmasz2_,0,2021-10-13
"@mikehalenyt What really matters is getting the #Maid right. When you're the only critic on RT who downplays a deeply raw and disturbing tale of what's it like to be poor and abused in America, something ain't right. Male privilege at its finest.",gladneyglorija,0,2021-10-13
Why #Maid's portrayal of a tricky #motherdaughter relationship is so powerful:  https://t.co/wKOlmDdoi3  https://t.co/GSeBOyul3T,stylistmagazine,1,2021-10-13
Man. I love Danielle. What a great friend. #Maid,carriemehome144,0,2021-10-13
My heart hurts so deeply for the girl in #Maid 🥺 I just want to hug her,queendelasassss,0,2021-10-13
"Sorry but yes girl, you're so stupid. #Maid",vespard,0,2021-10-13
#NYT #MikeHale grossly misses the point in his review of #Maid Toxic white maleism at its finest. Just look at the deviation of his review from the pack.    https://t.co/6uiZOzpoAz,gladneyglorija,0,2021-10-13
Somebody need to show Alex this 😭☠️ #Maid,nytajachnee,0,2021-10-13
"M-master, don't look at me li-like that... C-can i help you?   #artidn #maid #ArtistOfIndonesia #art #artwork #artistsontwitter #ArtistOfIndonesia #ibisPaintX #ibis  https://t.co/ucOUTsW3rS",soralicee,35,2021-10-13
Just a little something to think about after watching #Maid  The way the show portrayed Alex's story it might seemed easy to get out of that situation but in some aspects she only got that far by luck and some women don't have that  #MAIDNetflix  https://t.co/pHzysdv3Wp,voicelesscorpse,1,2021-10-13
matter fact watching the #maid on netflix. also gave me reassurance that no matter what obstacles i was ever faced with i never gave up. and still don’t.,byeebih,0,2021-10-13
#Maid on #Netflix is an emotional &amp; a very well crafted drama series. While watching it Ghalib ka ye Sher yaad agaya ‘Mushkilain Itni Peri Mujh Pe kay Asaan Ho Gayin’ this show is hell engaging tbh. A must watch.  https://t.co/EzgJkKtjSO,itsmaleeeks,7,2021-10-13
Love it when friends recommend a netflix series #maid 💖 such a powerful watch! X,susanalder87,1,2021-10-13
@enews Mind well and truly boggled ! A fab series. Powerful stuff. #Maid,gilly38,0,2021-10-13
Netflix did a really great job creating this show #MAID  https://t.co/vcPu1HLjcg,rowayousef,1,2021-10-13
"#Maid review: Based on Stephanie Land’s memoir, the #Netflix mini-series is riveting thanks to an astonishing #MargaretQualley, and the exploration of damage caused by the unending circle of abuse   https://t.co/G5GRLsKEGQ",thehinducinema,19,2021-10-13
Nate did nothing wrong and if you have a problem with him putting her out then you are the problem. #MAIDNetflix #maid,outgoinglyshy,0,2021-10-13
Nate is home watching Alex daughter and she’s sitting on the floor kissing Sean who has nothing to offer…. But y’all mad at Nate for putting her ass out. Y’all the problems in y’all relationships obviously. #MAIDNetflix #maid,outgoinglyshy,0,2021-10-13
"Without even realizing, she went right back to her abuser 🙃 I hate it here !! #Maid",whyy_rochhh,1,2021-10-13
I've just watched episode S01 | E05 of Maid! #maid   https://t.co/3QRpj8tOq1 #tvtime  https://t.co/Bfhu5HtDWH,wolfqueen_110,0,2021-10-13
Maid. Such a good series. Really moving and real and sad and heartbreaking and everything in between. #MAID #MAIDNetflix,mosesdas,0,2021-10-13
We finished watching #Maid last night &amp; it really brought home how difficult it is to get out of poverty. The state really has to be more generous in not only giving people a leg up but also giving them breathing space to recover &amp; rebuild emotional &amp; financial resilience.,mojitowoke,7,2021-10-13
"#Maid is just fucking brilliant isn’t it? How do I make sure I birth a child as cute as Maddy? I will not settle for anything less, anything not as cute shall be returned",amymcpherson_,0,2021-10-13
I've just watched episode S01 | E05 of Maid! #maid   https://t.co/CRxE0zphDF #tvtime  https://t.co/1upMnN0k8o,tattooedgrande_,0,2021-10-13
"23 followers off the #Maid #costume #stream oh dear, it's been ordered anyway!  https://t.co/4uB6xWDuR9",cr_45h,4,2021-10-13
"#MAID, season 1, episode 2.  #MAIDNetflix  #MAIDonNETFLIX  https://t.co/XGmMOhN4FL",wkm_up,4,2021-10-13
i support alex and nate in a relationship! #Maid #MAIDNetflix  https://t.co/g2YARXF0Gh,rioinfani,0,2021-10-13
"Have you watched #Maid? All single mums who had to go through the system will feel connected, all those toxic people hopefully get a glimpse of their chaos, and all those who never had to beg for help, hopefully feel a bit more empathy. I thought it was excellent. @netflix  https://t.co/vrwEeZFjT5",tweedtango,1,2021-10-13
Will anything else live up to #SquidGame and #MidnightMass on Netflix this week? Started #maid but still craving the other two,therealsmorgan,0,2021-10-13
I've just watched episode S01 | E02 of Maid! #maid #TVTime  https://t.co/aNPsvfFsnv #tvtime  https://t.co/89pJby5Ezc,tholicq8,0,2021-10-13
"Nate knew what to say he said phone charger in the car, hit up Starbucks i would of got up to 😂 #MAID",ibluedatup,0,2021-10-13
I've just watched episode S01 | E08 of Maid! #maid   https://t.co/RJakuVmrTp #tvtime  https://t.co/TmSSzAbVDm,uptownalren,0,2021-10-13
"I just watch #maid on #netflix It was really good. I can relate to many things she went through. DV, homeless with 2 children, absent parents. I made it through college &amp; was able to raise my girls &amp; they are good mother's &amp; I'm so very proud of them. #motherslove",lenorewilson20,1,2021-10-13
"now that i know i dont have an admission coming, i can binge #Maid and eat my salad. we only have 3 clients here, this week has been literally me at my desk doing NOTHING but safety calls.",elevatedhoney,0,2021-10-13
Just finished #Maid series on Netflix and they made such strong statements. Props to all women who were able to leave abusive relationships. Acknowledging that you're abused is one thing and getting out of it is another.,zygmaund,2,2021-10-13
LMAO not the friend stealing a whole dog.😂😂#MAID,_memza_,0,2021-10-13
Shoutout to the writers of #Maid ... and give Margaret Qualley her MF'n things!! I watched all 10 episodes of #MAIDNetflix in one sitting! Best 10 hours I've spent enjoying in the last few months!!  https://t.co/oRXPlabfU5,purpose_filled,3,2021-10-13
"“Before they hit you, they hit near you” … It grows. Like mold.   S01E02 Maid 26:00  #maid #netflix",ttyger,0,2021-10-13
That pony is neither a Shetland nor bay #Maid,cheekyhobbit,1,2021-10-13
"... but it could be a 3-hr long movie rather than a 10-part series. It was really good, though. Heavy but worth your time. #Maid #maidnetflix #MAIDonNETFLIX",joanacatbagan,1,2021-10-13
I've just watched episode S01 | E07 String Cheese of Maid! #maid    https://t.co/Lj9P4TMcCA #tvtime  https://t.co/MVEePmFHma,theskyequakes,0,2021-10-13
I've just watched episode S01 | E06 of Maid! #maid   https://t.co/N4rkSdgd60 #tvtime  https://t.co/Rvd4OKc9mR,uptownalren,0,2021-10-13
Holy shit #maid is so GOOOOD. Started it last night and I’m already on episode 9.,itslisetterenee,0,2021-10-13
Unmmhmmm ... now look atcha!! Leopards don't change their spots. #Maid #MAIDNetflix,purpose_filled,0,2021-10-13
"@netflix #Maid My childhood furniture and piano came from this.  When she died, the idiot dismissed her existence.",ahavakhatool,0,2021-10-13
I’m halfway through this #maid show on Netflix… am I supposed to like the main character Alex?? Because…  https://t.co/ola6GrMGDy,_dreamitbeit,0,2021-10-13
#maid was such a good series 🙌 the ending was so meaningful,amor_jacquie,2,2021-10-13
Now she's fired?!?!!! Baby girl been catching hell for 8 episodes!!! #Maid #MAIDNetflix  https://t.co/IGSOuNjwJn,purpose_filled,0,2021-10-13
Oooops! She left the journal! But that might end up working in her favor! #Maid #MAIDNetflix,purpose_filled,0,2021-10-13
I've just watched S01 | E10 of Maid! #maid   https://t.co/dsBWQBAbcb #tvtime  https://t.co/bgIc5ziPOw,puthculture,0,2021-10-13
Damaged people really damage other people. #Maid,vespard,0,2021-10-13
MAID (Hindi) Netflix Tv Web Series 2021 Watch Official Trailer  #NetflixIndia #MAID  https://t.co/O3sN7Mj1h4,mrhdin,0,2021-10-13
I've just watched episode S01 | E05 of Maid! #maid   https://t.co/AQqHFklSJt #tvtime  https://t.co/q42ng3jxLH,uptownalren,0,2021-10-13
"I can't say anything about this series, just want to give a five star. Really good👍. #MAIDNetflix #Maid  https://t.co/FImalvbefn",indrisptr,3,2021-10-13
"Honestly, I had a hard time identifying the DV issues in #Maid. It seemed more clearly a story of the financial abuse our entire nation puts us through. A livable minimum wage would have ended her struggle.",charmoooo,1,2021-10-13
Whyyyyyyyy would you settle for a Sean when you can have a Nate?!?!?!! WTF SIS?!?!! WTF?!?!!! #Maid #MAIDNetflix  https://t.co/EDPPvLwbMW,purpose_filled,7,2021-10-13
Ughhhhhhhhhh she's kissing Sean!!!!!!!!!!! #Maid #MAIDNetflix  https://t.co/i584n2Id4P,purpose_filled,1,2021-10-13
I've just watched episode S01 | E03 of Maid! #maid   https://t.co/MpvER70bsp #tvtime  https://t.co/Toxu0ycSme,gabsbs_,0,2021-10-13
"IDC, That Whole Mfing Toilet On #Maid Was Suppose To Be Sitting By The Trashcan By The Curb In The Front Yard 🤢🤮🤬",_tejabella_,0,2021-10-13
@iKnowMrForbes says he relates to “Alex” on #netflix series Maid #Maiden #maid #IamtheMaid  https://t.co/uz8iJzZDBC,iknowmrforbes,0,2021-10-13
Ok so is Alex slow? #MAID,joellasworld,0,2021-10-13
not me at 1 am convincing my mom we need to watch another episode of #maid  https://t.co/Prztz7tKKA,devonkate,0,2021-10-13
I've just watched episode S01 | E02 of Maid! #maid   https://t.co/8bCdvFNFAb #tvtime  https://t.co/XAJhrSBpDB,herondstydia,0,2021-10-13
damn this shit has me crying now #MAID,_rastagyalash,1,2021-10-13
"I couldn't stop &amp; watched back to back all episodes of #maid  I thought landlord of Alex may testify that how emotionally abused she is by her husband, bt story didn't went till that end. I wish society will acknowledge the emotional abuse is also #DomesticViolence  #MAIDNetflix",dr_chayanika,6,2021-10-13
I've just watched S01 | E09 of Maid! #maid   https://t.co/Dgf5wFMcyp #tvtime  https://t.co/ZGSRZtfZXh,puthculture,0,2021-10-13
"Maid It's a ride, a gambit of emotions, def an insight into DV, abuse, childcare, poverty and assistance (in the US). A little predictable but keeps you on the edge till the end.  Margaret Qualley is a delight and exceptionally good.  #MicroReview #Netflix  #MAIDNetflix #Maid",sayyami_7,1,2021-10-13
What’s about to happen with Alex in this house and this man she met online 😵‍💫 #MAID,cocojenell,0,2021-10-13
this girl flippen dumb cause why she ain’t leave that child with her dad #maid,_amorfelicia,0,2021-10-13
Lmao did she take her clothes home?! 😭😭 #MAID,joellasworld,0,2021-10-13
@iKnowMrForbes is watching the #Maid #TVSeries on #Netflix &amp; claims to “Relate with Alex.” #AlexMaid #MaidAlex #IamTheMaid #MaidNetflix #NetflixMaid  https://t.co/RXIUqh9zVa,iknowmrforbes,0,2021-10-13
I used to always ask my Daddy to get me a Shetland pony!! He got me a whole barrel racing mare instead! #Maid #MAIDNetflix,purpose_filled,0,2021-10-13
I've just watched episode S01 | E04 of Maid! #maid   https://t.co/8BnNsBQ1v4 #tvtime  https://t.co/qIDAXo4zu3,uptownalren,0,2021-10-13
People really self sabotage #Maid,rachtaughtyou,0,2021-10-13
Alex girl what are you dooiinnggg #Maid,rachtaughtyou,0,2021-10-13
"Damn, Alex can’t catch a break #Maid",sydnoaustralia,0,2021-10-13
Alex you’re an idiot girl  #Maid,rachtaughtyou,0,2021-10-13
#Maid #Netflix . Had me I n tears for most of it. It was so gut wrenching and realistic.,makeitrightful,0,2021-10-13
I've just watched episode S01 | E02 of Maid! #maid   https://t.co/M0x3ecK6zw #tvtime  https://t.co/QmEvFkml7y,gabsbs_,0,2021-10-13
mann i cant remember the last time i saw nick robinson on-screen but he looks so good as ever. still one of those white men i'd claim #Maid,viewdef,0,2021-10-13
Wanna know toxic?  Watch #Maid on Netflix.  Damn lol.,deadspacetrash,0,2021-10-13
"I'm almost finished watching #Maid. I've cried so many times, thinking of my own single mother and so many others. I also absolutely love that Alex has real flaws and Sean even had redeeming qualities, because God knows none of us are perfect.",simoneajordan,1,2021-10-13
Watching the #Maid on #Netflix. This is very well written. There is an amazing lesbian scene. It was this moment the writers earned me in #Originality #ImHooked &amp; I relate to #Alex 100%,iknowmrforbes,1,2021-10-13
I've just watched episode S01 | E01 of Maid! #maid   https://t.co/8E5IXn7rcc #tvtime  https://t.co/onaBhwWJdt,herondstydia,0,2021-10-13
When is my girl Alex gonna get a break?! GEEZ!!!!! #Maid #MAIDNetflix  https://t.co/OjqWhfQrsB,purpose_filled,0,2021-10-13
I've just watched S01 | E08 of Maid! #maid   https://t.co/lRUmbnqB7X #tvtime  https://t.co/5brMIJdP7u,puthculture,0,2021-10-13
Took her long enough to contact Nate!! #Maid #MAIDNetflix  https://t.co/sfsXEiIm9L,purpose_filled,0,2021-10-13
Currently watching #Maid. Pretty good.,amearaceleste_,0,2021-10-13
She betta dan mi. #Maid,shanae_ari,0,2021-10-13
